model,time,mae,mape,mase,mse,rmse,smape
SeasonalNaive,0.08850455681482951,32.388888888888886,0.41547343616733845,0.9859070392778257,1652.0666666666666,40.64562297058155,0.14737965369507322
AutoARIMA,0.17268216609954834,32.71850925021701,0.40840234855810803,1.0347309048111375,1552.6,39.403045567570025,0.14244804758000165
AutoETS,0.09213032722473144,34.44453260633681,0.44852754571237696,1.1223826982821639,1969.0523012395456,44.37400479153922,0.15129375548344415
Theta,0.9012496153513591,31.873199462890625,0.420370935572197,1.0827067667438137,1707.9765380881688,41.32767278819567,0.14550323921772215
