model,time,mae,mape,mase,mse,rmse,smape
SeasonalNaive,0.0885045568148295,32.388888888888886,0.4154734361673384,0.9859070392778256,1652.0666666666666,40.64562297058155,0.1473796536950732
AutoARIMA,0.1726821660995483,32.71850925021701,0.408402348558108,1.0347309048111375,1552.6,39.403045567570025,0.1424480475800016
AutoETS,0.0921303272247314,34.44453260633681,0.4485275457123769,1.122382698282164,1969.0523012395456,44.37400479153922,0.1512937554834441
Theta,0.9012496153513592,31.873199462890625,0.420370935572197,1.0827067667438135,1707.9765380881688,41.32767278819567,0.1455032392177221
linear,0.0012263496716817,36.14872966093176,0.6247767757567918,1.5894505141237025,2041.51437258392,45.18278966577389,0.18584298834686436
LGBMRegressor,0.0049430966377258,34.613662318697436,0.42363496366012976,1.0337495955434362,1601.327670841486,40.01453807795839,0.1376346946709882
XGBRegressor,0.0051407257715861,32.3388433071098,0.46430642424646984,1.2201409040263784,1659.3451277844288,40.72063967230626,0.1493504852496123
RandomForestRegressor,0.0758155345916748,32.15527777777778,0.4699816741037613,1.1155613158345399,1489.5098894117646,38.594168613346525,0.14243966819750697
NHITS,0.26265545686086017,26.799446635776096,0.3888190625576712,0.9033156037284163,1170.3692101358838,34.210630303499684,0.14914116560481328
NBEATS,0.0135415514310201,28.41226079728868,0.3850698342478128,0.9522687290212255,1217.6970506617897,34.89544407555126,0.15110618078304205
NHITS_m4_pretrained,0.7165430267651876,19.57640001508925,0.43915483735630123,0.9099636208732057,751.0007890921283,27.40439360927602,0.15536040143228308
NBEATS_m4_pretrained,0.20988006194432576,27.125150044759113,0.4836302608251572,1.0485024704858878,1145.3802568218573,33.84346697402406,0.1810178122439926
