Model,mse,rmse,mae,mape
concat,126.53791884804882,11.248907451306051,5.607275087442663,633577849.3229786
add,125.32210333198387,11.194735518625881,6.023108840230439,845307667.7741501
gated,147.2587557949779,12.135021870395533,5.852568497573336,572592939.6429826
naive,327.7557777777778,18.10402656255723,9.161222222222221,1495111192.6723511
