year,month,sales
2016,Mar,1
2016,Apr,2
2016,Sep,2
2016,Nov,1
2016,Dec,1
2017,Jan,1
2017,Mar,1
2017,Apr,1
2017,May,2
2017,Jun,1
2017,Jul,2
2017,Aug,2
2017,Sep,2
2017,Dec,4
2018,Jan,1
2018,Feb,1
2018,Mar,2
2018,Apr,2
2018,May,6
2018,Jun,3
2018,Jul,0
2018,Aug,4
2018,Oct,2
2018,Dec,1
2019,Jan,3
2019,Feb,1
2019,Mar,4
2019,Apr,3
2019,Jun,6
2019,Jul,1
2019,Aug,3
2019,Sep,3
2019,Oct,3
2019,Nov,1
2020,Jan,2
2020,Feb,3
2020,Mar,1
2020,May,2
2020,Jun,5
2020,Jul,2
2020,Aug,2
2020,Sep,1
2020,Nov,1
2020,Dec,0
2021,Jan,2
2021,Feb,2
2021,Mar,2
2021,Apr,4
2021,Jun,3
2021,Jul,2
2021,Aug,2
2021,Sep,1
2021,Oct,2
2021,Nov,3
2021,Dec,3
2022,Jan,1
2022,Mar,4
2022,Apr,5
2022,May,2
2022,Jun,12
2022,Jul,1
2022,Aug,2
2022,Sep,3
2022,Oct,1
